preciso desenvolver uma modelagem para um problema de dimensionamento de lotes, primeiro devemos dimensionar um planejamento agregado. Atualmente, tenho os seguintes dados:

produtos (kg):

faturamento (vendas):

PRODUTO	jan/24	fev/24	mar/24	abr/24	mai/24	jun/24	jul/24	ago/24	set/24	out/24	nov/24	dez/24	jan/25	fev/25	mar/25	abr/25
PRODUTO	jan/24	fev/24	mar/24	abr/24	mai/24	jun/24	jul/24	ago/24	set/24	out/24	nov/24	dez/24	jan/25	fev/25	mar/25	abr/25
RED. 10	 8.167 	 8.725 	 10.446 	 10.870 	 12.002 	 12.897 	 10.534 	 12.451 	 10.652 	 11.447 	 10.919 	 5.621 	 5.290 	 6.687 	 7.200 	 7.965 
PLATINO RED. 10	 3.071 	 3.117 	 3.691 	 4.349 	 4.474 	 3.934 	 3.149 	 3.574 	 3.895 	 4.502 	 4.799 	 2.083 	 3.010 	 2.308 	 3.290 	 2.940 
PLATINO RED. 05	 2.353 	 2.473 	 3.487 	 3.459 	 3.005 	 3.501 	 2.818 	 3.212 	 3.751 	 3.693 	 3.599 	 1.689 	 2.167 	 2.451 	 2.627 	 3.031 
RED. 05	 6.729 	 7.015 	 8.548 	 7.714 	 8.310 	 11.093 	 7.971 	 10.199 	 10.105 	 11.110 	 10.119 	 4.443 	 8.305 	 8.935 	 9.936 	 11.461 
RED. 07	 10.004 	 10.411 	 12.763 	 13.816 	 14.405 	 15.027 	 11.675 	 15.304 	 15.949 	 17.845 	 16.727 	 7.501 	 11.530 	 12.446 	 13.490 	 17.132 
FESTA 7.0	 16.502 	 17.372 	 20.451 	 22.179 	 23.282 	 24.759 	 18.275 	 21.959 	 26.598 	 27.205 	 24.332 	 10.763 	 9.829 	 11.813 	 10.966 	 16.372 
RED. 08	 16.791 	 17.562 	 20.868 	 20.448 	 21.186 	 25.521 	 19.301 	 22.737 	 22.455 	 25.417 	 24.227 	 10.965 	 14.527 	 13.603 	 16.624 	 17.667 
RED. 09	 8.176 	 8.719 	 10.108 	 10.428 	 11.159 	 11.579 	 8.129 	 9.994 	 10.297 	 11.507 	 11.055 	 4.776 	 7.595 	 9.798 	 9.720 	 9.357 
PLATINO RED. 09	 4.446 	 4.893 	 5.765 	 5.996 	 6.432 	 6.993 	 5.904 	 6.967 	 7.384 	 8.768 	 8.721 	 3.808 	 6.115 	 6.424 	 6.730 	 7.281 
GF 09	 62.491 	 64.948 	 78.075 	 80.672 	 90.860 	 94.168 	 70.638 	 87.566 	 89.317 	 100.986 	 90.593 	 42.098 	 70.967 	 72.216 	 85.408 	 90.814 
